meanBrightness;stdBrightness;medianBrightness;minBrightness;maxBrightness;rmsBrightness;meanLaplacian;stdLaplacian;medianLaplacian;minLaplacian;maxLaplacian;rmsLaplacian;meanFourier;stdFourier;medianFourier;minFourier;maxFourier;averageOfTop90PercentFourier;localMeanStd;localMeanMean;localMeanMin;localMeanMax;localMeanMedian;localVarStd;localVarMean;localVarMin;localVarMax;localVarMedian;mscnStd;mscnMean;mscnMin;mscnMax;mscnMedian;r;gamma;R;rho;alpha;beta;coefficient;brisque_score;alpha_grey;beta_grey;maximum_grey;clip_hist_percent_grey;max_face_proportion;horizontal_face_proportion;vertical_face_proportion;faceQScore;height;width;xt;yt;xb;yb;fileName;predict
90.81743494093614;56.66421856243907;75;0;253;107.04503797254235;22.67883471000977;45.91846408408599;1;0;255;51.21362013805936;2586.0730861418315;15853.63948729543;1108.2814584550233;7.213860377439896;2045027.0;782.3503905961005;0.18939716194589185;0.3412788422052998;0.02279836906553587;0.9378891422796274;0.3024030875473768;0.06846596034232534;0.08702236532919731;0.0016523861160387262;0.41854759811187237;0.06875850414445953;0.548655374911019;0.04240568460579495;-1.8153165855445526;2.0912570286221084;0.057539533331480555;0.4238599716980567;1.0789030104616602;0.42446791729565875;0.42446791729565875;0.7551471440727328;0.12360169270396144;3.4166055239998547;16.01774199812573;1.0759493670886076;-6.455696202531645;112.59;22518.0;0.1265654143351985;30.215827338129497;-3.0864197530864197;0.48034343;162;139;53;45;104;114;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/jack_black_question_1.jpg;NOT_OK
79.67217548076923;63.73799223132734;52;0;255;102.03032490156654;53.85997596153846;83.12962456192807;2;0;255;99.0526702839687;1962.9908259082201;5549.033250702339;1008.8191233530849;12.759023486888953;265149.0;557.4465401575792;0.14325931488478447;0.28381452089543735;0.03821021893881064;0.7148276461790293;0.2611877872442302;0.11063376408023613;0.14933833199982524;0.005064004298095674;0.4449424406308163;0.11219456512415901;0.6472256657477359;0.06993357700042323;-1.5493964972013836;2.1672642563721483;0.050371665840495586;0.4357060675061139;1.2334334563635374;0.4403125186915086;0.44031251869150834;0.7986247451204871;0.20300312479261334;2.171202787466098;27.14770150646595;1.0119047619047619;0.0;16.64;3328.0;0;0;0;0.4269024;64;52;0;0;0;0;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/jet_li_question_4.jpg;NOT_OK
99.03698052300348;61.642547033454484;117;3;255;116.6538774147067;3.5093197292751737;12.113849753525077;0;0;255;12.611926134150151;3606.6487846063783;89517.5516451634;723.8972725282395;0.27511824044799515;58414388.0;577.2903697128386;0.22504375622629366;0.3543338469176018;0.0237702387652619;0.9969166453512833;0.3794754737127143;0.037348079193959126;0.022643309859264524;4.061850605002467e-05;0.3813888919716829;0.009971152217766639;0.39163150579164946;0.008571998196850684;-1.8105997837720675;1.7961006109247795;0.003415442884119638;0.3770638554612776;0.84835591411932;0.3795511925756667;0.379551192575667;0.6480235503378654;0.0409626489808666;8.90370291264952;53.31218322789127;1.3212435233160622;-11.89119170984456;2949.12;589824.0;0.16709391276041666;-9.375;28.7109375;0.3620931;1024;576;0;0;0;0;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/photo anthropo lunettes plus flash.png;NOT_OK
135.3844926301099;80.10841287695429;108;37;255;157.30962671870037;8.526636847734695;27.29900663547705;0;0;255;28.599638095908958;4317.365659885028;92920.96972028892;540.3420768050066;0.5624051474594945;47339354.000000015;464.06025820643725;0.3058615564709187;0.5164334278817848;0.12254066720822088;1.0000110933451187;0.42154199844131485;0.07537496827816477;0.045070282302305135;1.8250120749944284e-08;0.4889940357534494;0.013777763762870513;0.4329550368497169;0.012560039404996238;-1.897926679542748;2.0825610977096667;0.045902464690168385;0.3609390767492697;1.05994940578113;0.3612439976837685;0.36124399768376797;0.6099433997963274;0.04276964000546236;7.93546044362489;45.656828257420756;1.2142857142857142;-53.42857142857142;1748.33;349666.0;0.032087763751694476;36.768802228412255;-16.632443531827516;0.4715764;487;718;452;156;513;240;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/photo question 21 ensemble.png;NOT_OK
98.46200209643605;46.38910321217888;97;0;255;108.84261460323692;28.627292976939202;55.280832407970735;1;0;255;62.253452393466986;2733.4402452707573;13166.493778737531;1434.4456941089745;6.945349096681961;1502924.0;1177.679840447978;0.15241266992726;0.36208808329170417;0.03988616350298186;0.9757531292544783;0.3457639806340884;0.0797712625524776;0.0822767484726786;0.004014970951134049;0.48497654782839916;0.051512066912649125;0.5752725041599882;0.028094998309476482;-1.655068638975486;1.7923180686448272;0.02022670186159098;0.38577480203904524;1.0352691110153032;0.3858905432369838;0.3858905432369844;0.6618911286108977;0.09272753528965175;4.025387555592463;10.757233130267394;1.0159362549800797;0.0;76.32;15264.0;0.1558569182389937;-16.037735849056602;-3.4722222222222223;0.39752328;144;106;0;0;0;0;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/jack_black_question_4.jpg;NOT_OK
152.30172284644195;56.005075563889235;168;1;255;162.2725585886639;10.099435081148565;20.733999825034655;0;0;255;23.062899594432427;4640.837299127481;91735.26164547101;590.7825724609675;0.3005054253430302;48797472.0;464.02663944411796;0.2187213169211928;0.5759148634356414;0.012969972102904884;0.9235169885767692;0.6070062456730381;0.045649824106332476;0.05515103912039104;0.0033695496735148076;0.4034867130493114;0.04251563329848154;0.6154743732201584;0.01521687876151813;-2.0384805973254005;2.0605339752376137;0.023536528293010006;0.46545600286811745;0.956818091295638;0.46568233539971055;0.4656823353997107;0.8760443405461787;0.20084034236361362;2.330313893438208;50.114690506690266;1.2142857142857142;-21.857142857142854;1602.0;320400.0;0;0;0;0.37867883;600;534;187;39;422;322;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/photo question 25 SDF DCD ensemble.png;NOT_OK
99.22466396894377;44.318412952070375;86;0;255;108.6722396306437;14.368418690582155;34.13474540266226;0;0;255;37.03555453037585;3465.5521976598625;39583.56026136728;1190.774965189753;2.133641531625171;13265643.0;935.6794492285059;0.1578864361644971;0.39154457856398917;0.11117666522431216;0.9918018836013408;0.3439900002227035;0.06550273370704393;0.045556414009585045;0.0009475136635574946;0.43271699376826683;0.011870601847737914;0.5649440919323371;0.016594281760711187;-2.287940023886626;2.0879214653554428;0.02277122272349119;0.4395044912813065;1.2500174093158247;0.44473419854495627;0.4447341985449551;0.8113865469937172;0.1500043198722839;2.971389726606714;15.795090708017682;1.3076923076923077;-74.53846153846153;668.465;133693.0;0;0;0;0.33661976;269;497;81;4;100;27;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/photo question 12.png;NOT_OK
167.68839823952723;56.89949616315043;180;15;255;177.07894162705696;4.167817362705891;12.414337067589479;0;0;255;13.095284128135548;19671.007515688467;711661.2954856522;4384.055588856527;2.5217056015737085;2710488439.0;3248.429357290652;0.215875396731959;0.667158582589663;0.07076688628734693;0.9996828709050904;0.7219815413010922;0.03831579202436336;0.020934500052796276;0.0001607918555559355;0.4696308215012053;0.006254073297610669;0.3663362687555179;0.00750570932721495;-2.2744341144650737;1.9675758440681657;0.01781552024962363;0.36682120809919916;1.0424761581205864;0.36697964905699365;0.3669796490569933;0.6215736921746502;0.03180671728774564;10.92306435770144;30.534297781248455;1.1538461538461537;-38.07692307692307;80819.2;16163840.0;0.052974911902122265;44.622564935064936;81.5548780487805;0.59629804;3280;4928;2519;1221;2599;1332;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/photo question 28 Profil  ensemble.JPG;NOT_OK
38.81922652970285;34.32461496816871;31;0;222;51.81806191934833;13.981472360984075;29.252837409747908;0;0;255;32.42236983784665;2138.8228574505897;10484.078776146564;801.0658272711664;7.588191050006604;1655212.9999999998;422.7505887047202;0.11379071254184206;0.13847641197636917;-6.250935779398178e-06;0.5164405341775321;0.11201403862268623;0.042429886165687006;0.050421450360113446;4.328771721973135e-07;0.25786457501365767;0.040031311885693414;0.5561708357487243;0.006285158747430511;-1.9598023451480713;2.1094300270051134;-0.022904617925659183;0.417694597008569;1.125422876076752;0.4191340161915678;0.4191340161915678;0.7412492429931515;0.12080689729760348;3.442270536131347;16.333322150664316;1.7708333333333333;0.0;213.195;42639.0;0;0;0;0.25834596;233;183;26;42;129;171;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/kevin_hart_question_2.jpg;NOT_OK
116.08246612689695;55.91648811694004;111;1;253;128.84794366009135;8.542048217856399;24.64183765745886;0;0;255;26.080390159902542;4612.937719879696;64844.096983399424;1194.1850263409858;1.5607669387896743;29549139.999999996;700.0200062437096;0.2253751124857106;0.4582520564782293;0.007718641083340846;0.9840695616153314;0.4193003577365132;0.05808717469438328;0.044541814539081785;2.9426245235756208e-05;0.45234387230696466;0.018253806930250388;0.4435481047614134;0.014770988036014667;-2.2889485202306408;1.9810222581603478;0.0227340482467109;0.32911456591252464;1.0481766508868564;0.32929635370307947;0.32929635370307925;0.549618330013903;0.0326685006852814;8.980623206423658;26.122287566380436;1.1643835616438356;-2.328767123287671;1272.765;254553.0;0.24175319088755584;-2.4922118380062304;-9.331651954602775;0.21995205;793;321;41;207;273;527;/home/edouard/Documents/4 - Dossier CAMARA images tests/dataset/NOT_OK/D-2 photo question recadrée.png;NOT_OK
