meanBrightness;stdBrightness;medianBrightness;minBrightness;maxBrightness;rmsBrightness;meanLaplacian;stdLaplacian;medianLaplacian;minLaplacian;maxLaplacian;rmsLaplacian;meanFourier;stdFourier;medianFourier;minFourier;maxFourier;averageOfTop90PercentFourier;localMeanStd;localMeanMean;localMeanMin;localMeanMax;localMeanMedian;localVarStd;localVarMean;localVarMin;localVarMax;localVarMedian;mscnStd;mscnMean;mscnMin;mscnMax;mscnMedian;r;gamma;R;rho;alpha;beta;coefficient;brisque_score;alpha_grey;beta_grey;maximum_grey;clip_hist_percent_grey;max_face_proportion;horizontal_face_proportion;vertical_face_proportion;faceQScore;height;width;xt;yt;xb;yb;fileName
9.378301405576966;4.36872002470536;11;0;15;10.345929243335686;1.0612106098390388;3.0317711022562808;0;0;64;3.212133866281293;389.6378337404503;4744.594541003272;155.7339980916341;0.2208835375672793;1985649.0;131.59021188109278;0.01640143706005231;0.03586007806556733;-6.231788081808253e-05;0.05882440731363479;0.03975210188021869;0.004174340407144439;0.0034416578335063983;0.0;0.030518138315693714;0.0019387607203471642;0.24429376612582446;0.009013710774088095;-1.495895827483963;1.1144779547202988;0.0032867799427097636;0.22202672933486786;1.2129977442988187;0.2240272451858593;0.2240272451858631;0.39006594728213906;0.0019404027809750855;72.22866531080511;76.6087272122696;18.214285714285715;0.0;1058.64;211728.0;0;0;0;0.32102627;528;401;141;176;272;350;featureTest/Brigthness/modif 01Brigthness-0.0625.png
19.350426018287614;8.736016760638764;22;0;31;21.231038032356864;1.8487776770195723;5.786964515478088;0;0;125;6.0751079992415296;741.6681733127048;9741.036973582177;257.5437313228113;0.33463430550711665;4097027.0;214.85647364704153;0.03301593646092428;0.07360906562199605;-0.00012672400218327005;0.12139537320324244;0.08134185078352417;0.008508441984283958;0.006781262599386405;0.0;0.061481542299562715;0.0036609614142699785;0.3048680812872117;0.011987662015036298;-1.7802433229311352;1.3109391504392403;0.010741147067123206;0.24770824207493192;1.1905319663510003;0.24954027075347762;0.24954027075347826;0.424486744959018;0.004948896050228681;35.519068547864265;58.84905491616959;8.5;0.0;1058.64;211728.0;0;0;0;0.35636422;528;401;140;175;272;351;featureTest/Brigthness/modif 02Brigthness-0.125.png
29.184146640973324;13.125298502975834;33;0;47;31.999810561221363;2.589997544018741;8.599231707284064;0;0;184;8.980805823175485;1098.469460680878;14683.333063168982;367.1641983723001;0.48779209881066155;6179101.0;299.1901952593936;0.04959326524207202;0.11110437424294024;-0.0001904270244585325;0.18345297965147406;0.12272990308404916;0.012820583045891929;0.010137703851856;0.0;0.09231873860721208;0.0054464321433115165;0.34083849274068895;0.013709864068389198;-1.9139879311563026;1.4536544387600936;0.015301507176892822;0.2614937453178255;1.204963168425413;0.26369549724605507;0.26369549724605446;0.4445795574978694;0.007882991433579047;24.898163560967188;48.199006196763634;5.666666666666667;0.0;1058.64;211728.0;0.1589775561097257;-1.2468827930174564;1.893939393939394;0.37457466;528;401;140;175;272;351;featureTest/Brigthness/modif 03Brigthness-0.1875.png
39.147084939167236;17.52591644147013;45;0;63;42.891164665322;3.323235471926245;11.45907913611383;0;0;247;11.931235839157155;1458.2301341547106;19681.956327454925;476.4520418200548;0.956932866387889;8288534.0;385.9983111549127;0.06621795021287953;0.14906608938608928;-0.0002544409545280666;0.24567848901807773;0.16459949484654357;0.01717343858163266;0.013506596988338011;0.0;0.12347416747254891;0.007244800742344707;0.36481374944995526;0.014934479854838641;-1.9816830267046956;1.4803751887876602;0.01828325280324202;0.2697522164552164;1.2167727938212614;0.2722588623241614;0.27225886232416135;0.4571214353694257;0.010399680842470595;20.081179919144564;40.39638221752429;4.180327868852459;0.0;1058.64;211728.0;0.14934255270913624;-0.24937655860349128;2.6515151515151514;0.41279903;528;401;140;175;272;351;featureTest/Brigthness/modif 04Brigthness-0.25.png
48.93139310813874;21.902326172104807;56;0;79;53.609636477525896;4.062164664097333;14.203935854456505;0;0;255;14.773387408301323;1816.3997986011857;24600.924937319767;587.3022020450836;1.0661189981147237;10360146.0;472.1294423584974;0.08277959408411166;0.18633617026172478;-0.00031849517821464526;0.30728535571119364;0.20575563589913207;0.021473106034727685;0.016870787704187904;0.0;0.15436471811458774;0.00904150160452846;0.38316445116904924;0.015881488597585834;-2.038880614907891;1.5421501671016264;0.021108376575918485;0.276864749372314;1.226970545619209;0.27965258391687975;0.27965258391687386;0.468201498869264;0.012862437050805902;17.085410949931045;34.591561313352116;3.311688311688312;0.0;1058.64;211728.0;0.147169953903121;0.24937655860349128;3.0303030303030303;0.42086565;528;401;140;175;272;351;featureTest/Brigthness/modif 05Brigthness-0.3125.png
58.8246618302728;26.28595359124891;67;0;95;64.430522236338;4.77556582029774;16.709257732259644;0;0;255;17.378300344598568;2176.0376612102245;29567.036613380704;700.7915123710047;2.5490420959389923;12454828.0;560.682506015651;0.09937524761276291;0.22406594101674837;-0.0003825057417268388;0.3686507443584925;0.24741604605911152;0.02580175711876083;0.02024114326306998;0.0;0.18551983510579656;0.010828989660933139;0.39714152881372666;0.016667674073989638;-2.0538494099318707;1.617657843432214;0.02292563050269821;0.28070664520681154;1.2371245592359807;0.28375604486332073;0.2837560448633208;0.4744560192654545;0.014691418441581174;15.372446563956746;29.854297866989867;2.7717391304347827;0.0;1058.64;211728.0;0.1463953751983677;0.24937655860349128;2.6515151515151514;0.4186793;528;401;140;175;272;352;featureTest/Brigthness/modif 06Brigthness-0.375.png
68.66824888536235;30.679293463339082;78;0;111;75.21002228687178;5.426967618831709;18.405150348249137;0;0;255;19.18857829224206;2536.8451409889385;34513.9666762695;815.3661372275069;1.5167248618426976;14538991.0;650.5169474828439;0.11595292530710702;0.2615610401485732;-0.00044665563236291833;0.43057634542952694;0.28882642309766615;0.03011701550597408;0.02361358336976508;0.0;0.21661632281387555;0.01265312512252435;0.4084203959728946;0.017258780087955;-2.0806188484497117;1.6331640018111075;0.023414040559679106;0.283697276275591;1.2416234987682782;0.28688073440831746;0.2868807344083176;0.4792707333397421;0.016272448299995593;14.163982736222547;26.070500622862227;2.361111111111111;0.0;1058.64;211728.0;0.147169953903121;0.24937655860349128;3.0303030303030303;0.41717806;528;401;140;175;272;352;featureTest/Brigthness/modif 07Brigthness-0.4375.png
78.74943323509409;35.08338062644404;90;0;127;86.21088580352536;6.049162132547419;19.82983765012383;0;0;255;20.731975876315172;2898.9479594143586;39562.93314111845;926.8785230467167;2.001015526693261;16673460.0;738.7690716546688;0.13262985272781994;0.2999899601457505;-0.0005115826841049308;0.49322626647396783;0.3311640985434332;0.03448890431118028;0.026992757987999286;0.0;0.2480693486373802;0.014447372612270288;0.41697576706195105;0.01784616891914363;-2.109313086312066;1.691995332130215;0.02605698470747478;0.2854445544486731;1.2434825190844496;0.28869015712614526;0.2886901571261448;0.4820798001382568;0.017417981220894815;13.38683901318175;23.502440184159553;2.056451612903226;0.0;1058.64;211728.0;0.147169953903121;0.24937655860349128;3.0303030303030303;0.41470164;528;401;140;175;272;352;featureTest/Brigthness/modif 08Brigthness-0.5.png
88.42293414191793;39.4520726239943;101;0;143;96.82500357136516;6.683065064611199;21.186099463205142;0;0;255;22.215178800150312;3257.844928251454;44433.69963691373;1038.5757367814008;0.5144890651906662;18721611.0;828.9875529071253;0.1491402879063465;0.336795356478173;-0.0005746991225297039;0.5540888540739877;0.3717991076972318;0.038752893300180016;0.030355429836403696;0.0;0.27879039071395123;0.016241135430282282;0.4254408827304672;0.018289005289920987;-2.12048196762926;1.712826267159678;0.027798659541911186;0.28941986546118326;1.2533970221106825;0.2929436915998265;0.2929436915998268;0.4887451912448705;0.019283888589044007;12.4195878563457;20.56493085724307;1.8345323741007193;0.0;1058.64;211728.0;0.147169953903121;0.24937655860349128;3.0303030303030303;0.41417858;528;401;140;176;272;352;featureTest/Brigthness/modif 09Brigthness-0.5625.png
98.31045020025694;43.83641215209815;112;0;159;107.64095711645182;7.294571336809492;22.477819835790836;0;0;255;23.63182505770713;3619.9005773307094;49397.356293735415;1154.2433806575823;5.089178087472342;20815075.0;919.371559907386;0.16573941108184828;0.3745249495286429;-0.0006389205811139951;0.6161264713254511;0.4134259707123381;0.043085737404915794;0.033730819534198674;0.0;0.30994472876859064;0.018065569384465997;0.4320561134871822;0.018636687874831193;-2.1327590503774427;1.7233333712699619;0.027936496532375107;0.2908698769214085;1.2586688275634281;0.2945378851242701;0.29453788512426965;0.4912661060929601;0.020346852781255437;11.887352576601529;18.394789342226744;1.6451612903225807;0.0;1058.64;211728.0;0.147169953903121;0.24937655860349128;3.0303030303030303;0.41124105;528;401;140;176;272;352;featureTest/Brigthness/modif 10Brigthness-0.625.png
